,Weight,Gain,Cover
0,f152,f152,f77
1,f143,f77,f42
2,f133,f121,f152
3,f111,f139,f139
4,f106,f66,f116
5,f90,f100,f61
6,f81,f42,f50
7,f116,f0,f142
8,f126,f50,f20
9,f122,f31,f49
10,f70,f120,f13
11,f120,f75,f135
12,f107,f36,f143
13,f142,f133,f120
14,f131,f116,f133
15,f17,f49,f149
16,f134,f35,f91
17,f87,f55,f35
18,f96,f61,f75
19,f35,f19,f53
20,f91,f91,f74
21,f139,f131,f140
22,f49,f81,f131
23,f74,f74,f60
24,f83,f142,f106
25,f149,f143,f66
26,f140,f138,f138
27,f24,f18,f18
28,f127,f94,f126
29,f48,f126,f128
30,f77,f127,f19
31,f50,f123,f111
32,f121,f71,f112
33,f66,f70,f107
34,f60,f60,f70
35,f61,f149,f71
36,f129,f20,f48
37,f20,f140,f24
38,f75,f106,f134
39,f19,f111,f90
40,f138,f39,f127
41,f71,f112,f62
42,f108,f48,f104
43,f136,f135,f31
44,f62,f28,f81
45,f135,f107,f29
46,f112,f83,f36
47,f80,f17,f0
48,f28,f10,f55
49,f128,f134,f136
50,f42,f90,f125
51,f0,f147,f17
52,f100,f62,f88
53,f123,f46,f147
54,f104,f29,f100
55,f13,f122,f87
56,f31,f125,f122
57,f53,f80,f121
58,f15,f15,f15
59,f55,f128,f129
60,f94,f59,f83
61,f7,f129,f80
62,f36,f96,f123
63,f46,f24,f94
64,f18,f7,f39
65,f39,f136,f28
66,f125,f88,f59
67,f29,f54,f46
68,f10,f87,f54
69,f4,f108,f7
70,f54,f13,f10
71,f88,f119,f96
72,f147,f4,f108
73,f119,f104,f119
74,f59,f53,f4
